% Author: Mohamed Idries
% Date and Time: 25 July 2016 15:23
% Comment:
% In this trial I installed a single sonar (maxSonar EZ 1) 3m from each wall. 
% *----------------------
% |         
% |           ^
% |	      3m
% |         
% |   
% |  < 3m     X
% |
% 
% Assuming 0 degrees is pointing up and 90 degrees is pointing to the left.
% I obtained the data by slowly moving it around the fixed point from 0 degrees to 90 degrees.
% Format: Milliseconds, Sonar, AccX, AccY, AccZ, GyrX, GyrY, GyrZ
1474,294,-2092,720,15492,-191,191,-145
1478,294,-2108,680,15456,-202,186,-151
1481,297,-2008,708,15372,-173,203,-143
1485,297,-2036,716,15504,-188,203,-136
1488,297,-2008,728,15332,-197,207,-138
1492,297,-2132,620,15312,-183,207,-129
1497,297,-2032,700,15348,-183,181,-166
1500,294,-2116,572,15328,-199,187,-148
1504,294,-2152,740,15328,-188,191,-148
1507,294,-2228,612,15348,-205,188,-146
1511,294,-2212,660,15384,-201,191,-131
1515,294,-2200,608,15472,-188,194,-148
1518,294,-2040,656,15392,-204,192,-142
1522,294,-2184,644,15284,-199,212,-167
1525,294,-2132,708,15492,-178,193,-150
1529,294,-2152,744,15388,-180,194,-146
1532,294,-2044,744,15320,-219,173,-154
1537,294,-2024,572,15376,-196,196,-135
1541,294,-2108,600,15236,-196,182,-147
1544,294,-2164,652,15320,-198,199,-135
1548,294,-2072,604,15308,-203,203,-139
1551,299,-2192,668,15348,-172,188,-151
1555,299,-2132,636,15356,-196,193,-161
1558,299,-2084,656,15272,-181,186,-176
1562,299,-2064,624,15432,-179,202,-149
1566,299,-2024,668,15368,-180,186,-162
1569,299,-2120,600,15312,-188,189,-133
1573,299,-2180,764,15284,-181,188,-146
1576,299,-2216,684,15248,-197,200,-144
1581,299,-2128,680,15360,-197,192,-141
1584,299,-2052,600,15400,-171,187,-156
1588,299,-2140,632,15504,-171,202,-130
1592,299,-2172,736,15344,-190,183,-149
1595,299,-2152,680,15348,-191,173,-136
1599,297,-2052,728,15540,-191,201,-142
1602,297,-2080,592,15344,-177,170,-152
1606,297,-2068,644,15356,-202,180,-148
1609,297,-2108,708,15236,-197,195,-135
1613,297,-2136,684,15424,-187,191,-164
1617,297,-2100,724,15212,-180,200,-159
1620,297,-2172,644,15416,-199,209,-149
1625,297,-2088,744,15336,-183,186,-157
1628,297,-2036,636,15404,-184,205,-154
1632,297,-2152,672,15404,-189,189,-131
1635,297,-2036,624,15236,-188,179,-141
1639,297,-2104,712,15368,-174,210,-155
1643,297,-2084,640,15400,-186,197,-162
1646,297,-2152,764,15492,-183,204,-161
1650,292,-2112,616,15412,-189,194,-149
1653,292,-2132,840,15436,-187,188,-147
1657,292,-2172,652,15452,-169,191,-154
1660,292,-2084,620,15288,-204,194,-143
1665,292,-2120,612,15256,-186,199,-145
1669,289,-2148,788,15260,-190,196,-135
1672,292,-2084,736,15192,-178,197,-149
1676,292,-2084,668,15340,-190,183,-133
1679,294,-2136,720,15420,-197,190,-138
1683,294,-2188,672,15364,-204,194,-150
1687,292,-2204,568,15364,-193,175,-156
1690,294,-2148,744,15448,-198,198,-163
1694,294,-2032,716,15352,-189,193,-135
1697,294,-2028,668,15116,-195,189,-133
1701,294,-2136,688,15288,-179,195,-156
1704,294,-2008,640,15400,-175,169,-143
1709,294,-2196,616,15268,-184,197,-135
1713,294,-2088,708,15360,-211,194,-137
1716,294,-2044,636,15340,-181,188,-141
1720,294,-2040,752,15328,-194,193,-134
1723,294,-2212,668,15336,-176,185,-164
1727,294,-2188,632,15320,-166,205,-150
1730,294,-2132,656,15444,-187,205,-143
1734,294,-2088,676,15288,-191,196,-152
1738,294,-2112,724,15392,-178,182,-166
1741,294,-2124,700,15316,-194,190,-131
1745,294,-2144,684,15376,-180,204,-144
1748,292,-2068,632,15284,-186,210,-152
1753,292,-2104,712,15280,-182,193,-144
1756,292,-2100,596,15448,-181,184,-146
1760,292,-2112,664,15252,-187,192,-134
1764,292,-2140,620,15480,-173,192,-149
1767,292,-2212,640,15380,-183,197,-157
1771,292,-2196,608,15208,-197,173,-136
1774,292,-2104,632,15460,-186,191,-131
1778,292,-2152,644,15284,-191,186,-129
1781,292,-2104,764,15396,-188,182,-146
1785,292,-2060,656,15440,-177,190,-160
1789,292,-2212,672,15396,-180,191,-134
1793,292,-2092,592,15236,-184,206,-150
1797,292,-2136,668,15368,-193,200,-160
1800,292,-2144,640,15412,-190,216,-132
1804,292,-2044,700,15264,-187,177,-146
1807,292,-2076,724,15304,-183,200,-149
1811,292,-2096,640,15396,-165,188,-140
